ID_project;ID_lan;class_number;class_type;longitude;latitude;geo_acc;date;date_acc
LIG_0001;a;N1;NS;9.716165;44.229047;P2;01/11/2010 11:00;OD
LIG_0002;a;N1;NS;9.843623;44.133743;P2;01/11/2010 04:00;OD
LIG_0003;a;N2;NS;9.918805;44.069148;P2;22/11/2010 07:00;OD
LIG_0005;a;N2;NS;9.893037;44.144603;P2;21/11/2010 22:59;G
LIG_0006;a;N1;NS;9.919812;44.06801;P2;22/12/2010 07:00;O
LIG_0007;a;N2;NS;9.975303;44.116053;P2;24/12/2009 22:59;OD
LIG_0008;a;N1;NS;9.750307;44.207225;P2;24/12/2009 22:59;OD
LIG_0010;a;N1;CF;9.880779;44.152822;P2;20/01/2009 16:00;OD
LIG_0011;a;N1;NS;9.876868;44.153482;P1;24/12/2009 22:59;OD
LIG_0013;a;N2;NS;9.836619;44.138874;P2;10/02/2009 12:00;OD
LIG_0014;a;N1;FC;9.297518;44.327032;P1;10/02/2009 04:00;OD
LIG_0016;a;N1;NS;8.772806;44.459291;P1;30/11/2009 04:30;OD
LIG_0017;a;N1;NS;8.603191;44.484355;P1;30/11/2009 04:00;OD
LIG_0018;a;N2;NS;9.886954;44.149914;P2;11/05/2010 14:00;OD
LIG_0020;a;N2;NS;9.784198;44.09701;P2;29/07/2010 12:00;O
LIG_0030;a;N1;NS;9.754215;44.21287;P1;09/11/2010 06:00;OD
LIG_0032;a;N1;NS;9.763944;44.2108;P2;06/12/2010 21:00;O
LIG_0033;a;N1;NS;9.791829;44.13059;P1;06/12/2010 22:59;G
LIG_0034;a;N1;CF;9.151604;44.411295;P2;08/09/2010 04:00;OD
LIG_0035;a;N1;FC;9.114331;44.367863;P2;08/09/2010 15:00;OD
LIG_0037;a;N1;NS;8.57494;44.374924;P2;05/10/2010 03:00;OD
LIG_0038;a;N2;NS;8.826253;44.442952;P1;04/10/2010 11:00;OD
LIG_0040;a;N1;NS;7.731065;43.824305;P2;31/10/2010 14:00;OD
LIG_0041;a;N1;NS;7.692902;43.793019;P1;01/11/2010 11:20;O
LIG_0042;a;N2;FC;8.126869;43.927853;P2;02/11/2010 04:00;OD
LIG_0043;a;N1;FC;8.489062;44.314599;P1;31/10/2010 12:40;O
LIG_0046;a;N1;NS;9.257622;44.458802;P1;09/05/2010 04:40;O
LIG_0050;a;N2;NS;8.559689;44.352784;P2;04/10/2010 09:17;O
LIG_0051;a;N1;NS;9.381846;44.402215;P2;02/11/2010 15:50;OD
LIG_0052;a;N1;FC;7.833503;43.940093;P2;10/01/2010 02:00;OD
LIG_0054;a;N1;NS;8.482054;44.357174;P2;04/11/2008 05:00;O
LIG_0056;a;N1;NS;7.937653;43.854787;P2;21/01/2009 04:45;O
LIG_0057;a;N1;NS;7.846959;43.905389;P2;21/01/2009 01:00;O
LIG_0059;a;N1;NS;9.004782;44.456203;P1;30/11/2008 23:59;O
LIG_0060;a;N1;NS;8.849963;44.441084;P2;04/11/2008 21:00;OD
LIG_0061;a;N1;NS;7.659286;43.881358;P3;15/12/2008 10:00;OD
LIG_0062;a;N1;FC;8.428948;44.325859;P1;06/02/2009 18:00;O
LIG_0063;a;N1;NS;9.387681;44.268937;P1;07/02/2009 04:00;OD
LIG_0064;a;N1;FC;8.492147;44.317873;P1;19/12/2008 04:15;O
LIG_0066;a;N1;NS;8.206074;44.380404;P1;06/03/2009 04:00;OD
LIG_0068;a;N1;NS;9.051729;44.441572;P1;27/04/2009 02:00;O
LIG_0069;a;N1;FC;7.59956;43.793433;P1;27/04/2009 08:30;OD
LIG_0070;a;N1;NS;8.946618;44.433146;P1;27/04/2009 05:00;O
LIG_0071;a;N1;NS;9.868501;44.093383;P2;10/12/2008 23:59;G
LIG_0073;a;N1;NS;9.198571;44.386543;P2;20/01/2009 06:00;O
LIG_0074;a;N1;FC;9.277256;44.332501;P1;30/11/2008 08:00;O
LIG_0080;a;N1;NS;8.560871;44.354474;P2;25/09/2006 12:00;O
LIG_0081;a;N1;NS;9.921536;44.066262;P2;05/12/2005 02:00;O
LIG_0082;a;N1;NS;8.286036;44.406009;P1;27/04/2009 19:30;O
LIG_0083;a;N1;FC;7.909351;44.049702;P2;27/04/2009 21:59;O
LIG_0087;a;N1;NS;8.625;44.37583;P2;29/10/2008 16:00;OD
LIG_0090;a;N1;FC;9.382182;44.285922;P1;08/11/2009 07:00;OD
LIG_0091;a;N1;NS;9.277628;44.335668;P1;06/02/2009 08:00;O
LIG_0092;a;N1;NS;8.893899;44.46396;P2;07/02/2009 19:00;OD
LIG_0094;a;N1;NS;9.166052;44.404199;P1;05/02/2009 11:00;O
LIG_0095;a;N1;FC;9.170117;44.35495;P1;05/02/2009 04:30;OD
LIG_0097;a;N1;NS;8.490052;44.404665;P1;10/10/2009 13:00;OD
LIG_0098;a;N1;NS;8.957939;44.64188;P1 ;07/02/2009 07:25;O
LIG_0100;a;N1;NS;7.816417;43.969661;P2;14/03/2011 04:00;O
LIG_0101;a;N1;NS;8.168929;44.35683;P2;15/03/2011 21:00;O
LIG_0102;a;N1;NS;8.721612;44.447597;P2;16/03/2011 14:00;OD
LIG_0103;a;N1;NS;8.699122;44.538866;P1;15/03/2011 22:00;O
LIG_0104;a;N1;NS;9.021243;44.444482;P1;30/11/2009 13:00;OD
LIG_0105;a;N1;FC;7.594853;43.841222;P1;01/12/2009 05:00;O
LIG_0111;a;N2;NS;9.354914;44.361;P1;22/12/2009 10:00;OD
LIG_0112;a;N1;CF;9.383221;44.421825;P1;23/12/2009 05:00;O
LIG_0114;a;N1;FC;7.53519;43.882386;P1;22/12/2009 04:00;OD
LIG_0115;a;N1;FC;7.687035;43.787456;P1;23/12/2009 14:00;OD
LIG_0116;a;N1;FC;8.070068;43.891868;P1;24/12/2009 17:40;O
LIG_0117;a;N2;FC;8.16963;43.960579;P1;24/12/2009 18:00;OD
LIG_0119;a;N1;NS;8.488988;44.314557;P1;27/07/2011 13:00;O
LIG_0120;a;N1;NS;9.922528;44.07348;P1;07/01/2011 15:00;O
LIG_0132;a;N2;NS;8.380756;44.333428;P1;04/09/2011 15:00;OD
LIG_0134;a;N1;NS;8.994042;44.540305;P1;09/06/2011 03:00;OD
LIG_0137;a;N1;FC;9.212639;44.311599;P1;05/09/2011 03:00;OD
LIG_0140;a;N1;FC;7.982696;44.019514;P1;17/03/2011 04:00;OD
LIG_0144;a;N1;NS;9.763508;44.215634;P1;25/10/2011 12:00;O
LIG_0145;a;N1;NS;9.690039;44.131103;P1;25/10/2011 13:45;O
LIG_0147;a;N1;FC;8.498472;44.323455;P1;11/10/2004 17:00;OD
LIG_0148;a;N1;NS;8.325237;44.174589;P2;30/10/2004 04:00;OD
LIG_0149;a;N1;NS;8.542089;44.337059;P1;02/11/2004 04:00;OD
LIG_0151;a;N1;NS;8.437697;44.346794;P1;11/09/2005 05:45;O
LIG_0152;a;N1;FC;7.744793;43.839208;P1;19/10/2005 09:00;OD
LIG_0153;a;N1;NS;9.479347;44.270414;P1;23/10/2005 21:59;OD
LIG_0155;a;N1;NS;8.850315;44.454471;P2;05/11/2005 04:00;OD
LIG_0156;a;N1;FC;8.191542;44.017734;P1;03/12/2005 04:00;OD
LIG_0157;a;N1;NS;7.865046;43.872375;P1;03/12/2005 22:59;OD
LIG_0159;a;N1;NS;8.536033;44.334796;P1;03/12/2005 10:00;OD
LIG_0162;a;N1;NS;8.940697;44.59119;P1;16/08/2006 06:00;OD
LIG_0163;a;N1;NS;8.444476;44.347365;P1;25/09/2006 16:00;OD
LIG_0164;a;N1;NS;8.476165;44.361678;P2;26/09/2006 19:00;OD
LIG_0165;a;N1;NS;9.479474;44.266905;P2;21/10/2006 08:00;OD
LIG_0166;a;N1;NS;8.944049;44.512614;P1;07/12/2006 04:00;OD
LIG_0167;a;N1;CF;7.734856;43.900197;P1 ;08/12/2006 21:30;O
LIG_0168;a;N1;FC;8.336509;44.166588;P1;21/01/2009 15:30;O
LIG_0172;a;N1;NS;7.809847;43.974267;P1;11/01/2008 23:59;O
LIG_0173;a;N1;NS;7.970363;43.889809;P1;12/01/2008 07:00;OD
LIG_0174;a;N2;NS;7.980163;43.881068;P1;12/01/2008 09:00;OD
LIG_0177;a;N1;NS;9.829652;44.199743;P1;10/03/2008 20:00;OD
LIG_0178;a;N1;FC;9.318377;44.366774;P1;19/04/2008 06:00;OD
LIG_0181;a;N1;NS;9.662829;44.27347;P1;18/06/2008 04:30;O
LIG_0183;a;N1;NS;9.370635;44.309122;P1;12/11/2008 12:00;OD
LIG_0184;a;N1;NS;9.362355;44.350852;P1;12/11/2008 12:00;OD
LIG_0185;a;N1;NS;7.65808;43.78546;P1;01/12/2008 05:30;O
LIG_0186;a;N1;NS;9.343316;44.35812;P1;01/12/2008 22:59;OD
LIG_0188;a;N1;NS;9.843685;44.179233;P1;10/12/2008 18:45;O
LIG_0189;a;N1;NS;8.026668;44.115872;P1;16/12/2008 09:30;O
LIG_0190;a;N1;NS;9.044111;44.55276;P1;15/04/2008 20:00;OD
LIG_0192;a;N1;NS;9.591795;44.284816;P1;20/01/2009 10:15;OD
LIG_0193;a;N1;NS;8.940482;44.559434;P1;21/01/2009 07:00;OD
LIG_0194;a;N1;NS;9.871555;44.097808;P1;21/01/2009 04:00;OD
LIG_0197;a;N1;NS;9.752379;44.218081;P1;02/02/2009 18:00;OD
LIG_0198;a;N1;NS;8.971226;44.571201;P1;05/02/2009 14:00;OD
LIG_0200;a;N1;NS;9.03899;44.553309;P1;06/02/2009 14:00;OD
LIG_0202;a;N1;NS;9.744924;44.101757;P1;05/03/2009 14:00;OD
LIG_0203;a;N1;NS;9.809723;44.082593;P1;30/03/2009 03:00;OD
LIG_0204;a;N1;FS;9.418078;44.410934;P1;02/04/2009 21:59;OD
LIG_0206;a;N1;CT;8.211959;44.359772;P1;27/04/2009 15:00;OD
LIG_0207;a;N1;FC;7.591095;43.84241;P1;27/04/2009 16:00;O
LIG_0208;a;N2;CF;7.804321;43.960411;P1;27/04/2009 16:30;O
LIG_0211;a;N1;NS;7.976136;43.974525;P1;09/11/2009 14:00;O
LIG_0212;a;N1;FC;7.782912;43.851463;P1;09/11/2009 12:00;O
LIG_0213;a;N1;NS;8.990467;44.444673;P1;30/11/2009 08:00;O
LIG_0214;a;N1;FS;9.350336;44.354201;P2;08/12/2009 04:00;OD
LIG_0215;a;N1;NS;7.844187;43.91239;P1;22/12/2009 03:00;O
LIG_0216;a;N1;NS;9.695633;44.243477;P1;23/12/2009 04:00;OD
LIG_0217;a;N1;NS;7.863165;43.848858;P1;23/12/2009 04:00;O
