cod_area;longitude;latitude;pk_sensor;gs;p1_c;p1_w;p2_c;p2_w;p3;p4_c;p4_w;sws;ews;ID_rain_gauge
LIG;7.6121;43.7878;39624;0.2;6;3;12;6;1;96;48;5;9;4378780076121
LIG;7.6189;43.7933;19948;0.2;6;3;12;6;1;96;48;5;9;4379330076189
LIG;7.7862;43.8227;35111;0.2;6;3;12;6;1;96;48;5;9;4382270077862
LIG;7.6985;43.8276;50028;0.2;6;3;12;6;1;96;48;5;9;4382760076985
LIG;7.5432;43.831;50079;0.2;6;3;12;6;1;96;48;5;9;4383100075432
LIG;7.6218;43.848;20344;0.2;6;3;12;6;1;96;48;5;9;4384800076218
LIG;7.9286;43.8526;50034;0.2;6;3;12;6;1;96;48;5;9;4385260079286
LIG;7.5448;43.8732;50088;0.2;6;3;12;6;1;96;48;5;9;4387320075448
LIG;8.0165;43.8796;40054;0.2;6;3;12;6;1;96;48;5;9;4387960080165
LIG;7.7739;43.8797;35114;0.2;6;3;12;6;1;96;48;5;9;4387970077739
LIG;7.6018;43.8886;39605;0.2;6;3;12;6;1;96;48;5;9;4388860076018
LIG;7.7333;43.9046;40068;0.2;6;3;12;6;1;96;48;5;9;4390460077333
LIG;7.9515;43.9059;50001;0.2;6;3;12;6;1;96;48;5;9;4390590079515
LIG;7.6945;43.9186;50037;0.2;6;3;12;6;1;96;48;5;9;4391860076945
LIG;8.0677;43.9199;35122;0.2;6;3;12;6;1;96;48;5;9;4391990080677
LIG;7.842;43.9307;35109;0.2;6;3;12;6;1;96;48;5;9;4393070078420
LIG;8.0007;43.9333;39516;0.2;6;3;12;6;1;96;48;5;9;4393330080007
LIG;7.6081;43.9396;40085;0.2;6;3;12;6;1;96;48;5;9;4393960076081
LIG;7.9532;43.9771;39518;0.2;6;3;12;6;1;96;48;5;9;4397710079532
LIG;8.1036;43.9792;39540;0.2;6;3;12;6;1;96;48;5;9;4397920081036
LIG;7.8667;43.9813;50067;0.2;6;3;12;6;1;96;48;5;9;4398130078667
LIG;7.6998;43.9815;35096;0.2;6;3;12;6;1;96;48;5;9;4398150076998
LIG;7.7624;43.9945;39619;0.2;6;3;12;6;1;96;48;5;9;4399450077624
LIG;8.1693;44.0062;39510;0.2;6;3;12;6;1;96;48;5;9;4400620081693
LIG;8.0352;44.0065;39617;0.2;6;3;12;6;1;96;48;5;9;4400650080352
LIG;7.7934;44.042;40070;0.2;6;3;12;6;1;96;48;5;9;4404200077934
LIG;7.7211;44.0442;50085;0.2;6;3;12;6;1;96;48;5;9;4404420077211
LIG;8.2108;44.0488;40000;0.2;6;3;12;6;1;96;48;5;9;4404880082108
LIG;7.9147;44.0495;39594;0.2;6;3;12;6;1;96;48;5;9;4404950079147
LIG;10.0141;44.0502;39578;0.2;6;3;12;6;1;96;48;5;9;4405020100141
LIG;9.8359;44.052;39600;0.2;6;3;12;6;1;96;48;5;9;4405200098359
LIG;8.0413;44.0572;44548;0.2;6;3;12;6;1;96;48;5;9;4405720080413
LIG;7.8664;44.0639;19996;0.2;6;3;12;6;1;96;48;5;9;4406390078664
LIG;9.9723;44.0639;40076;0.2;6;3;12;6;1;96;48;5;9;4406390099723
LIG;8.0043;44.0654;35128;0.2;6;3;12;6;1;96;48;5;9;4406540080043
LIG;8.1796;44.0688;39514;0.2;6;3;12;6;1;96;48;5;9;4406880081796
LIG;9.9384;44.0713;40059;0.2;6;3;12;6;1;96;48;5;9;4407130099384
LIG;10.009;44.0749;44538;0.2;6;3;12;6;1;96;48;5;9;4407490100090
LIG;8.1342;44.0768;20356;0.2;6;3;12;6;1;96;48;5;9;4407680081342
LIG;8.1582;44.0805;39534;0.2;6;3;12;6;1;96;48;5;9;4408050081582
LIG;7.8733;44.0832;35090;0.2;6;3;12;6;1;96;48;5;9;4408320078733
LIG;9.8094;44.0966;50137;0.2;6;3;12;6;1;96;48;5;9;4409660098094
LIG;9.9305;44.1033;20376;0.2;6;3;12;6;1;96;48;5;9;4410330099305
LIG;10.007;44.1038;44531;0.2;6;3;12;6;1;96;48;5;9;4410380100070
LIG;9.7348;44.1063;40019;0.2;6;3;12;6;1;96;48;5;9;4410630097348
LIG;9.8282;44.107;39570;0.2;6;3;12;6;1;96;48;5;9;4410700098282
LIG;9.9655;44.1123;39610;0.2;6;3;12;6;1;96;48;5;9;4411230099655
LIG;7.9965;44.1228;50104;0.2;6;3;12;6;1;96;48;5;9;4412280079965
LIG;8.1189;44.132;39527;0.2;6;3;12;6;1;96;48;5;9;4413200081189
